author,review,date_review,note,cdiscount_response,cdiscount_response_date,cdiscount_response_content,scores
agnès dresch rees,"comme d'habitude ,  depuis au moins 10 ans cliente chez cdiscount et aucun souci/très professionnel .  et facile de trouver les articles recherchés . ",18/04/2024,5,1,19/04/2024,"bonjour agnès,merci de votre fidélité ! 🤩votre avis et votre confiance nous encouragent à vous proposer toujours plus d'avantages et de bonnes affaires !à bientôt sur le site,damien","{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4926}"
julian,"achat rapide ,  choix entre plusieurs produits et plusieurs moyens de payement .  utilisation de bons de réduction grâce aux achats avec la carte cdiscount . ",20/04/2024,5,1,23/04/2024,"bonjour julian,merci d'avoir partagé votre expérience 😊 c'est un plaisir de vous proposer autant d'avantages !à très bientôt sur le site,damien","{'neg': 0.062, 'neu': 0.772, 'pos': 0.167, 'compound': 0.5267}"
jany borgnet,"tout c'est bien passé , mais j'aurais aimé avoir plus de renseignements technique sur les accessoires auto , dans mon cas la compatibilité avec mon véhicule à propos des jantes commandées , en espérant que tout ira !",23/04/2024,5,1,24/04/2024,"bonjour jany,merci d'avoir partagé ces remarques ! la prochaine fois, n'hésitez pas à demander des précisions à mes collègues du service clients ou au vendeur marketplace via la fiche produit 😉j'espère aussi que tout ira bien, mais n'oubliez pas qu'il y aura toujours quelqu'un pour vous aider !à bientôt,damien","{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.8221}"
dany,"depuis une semaine ,  j'essaie de procéder à la validation de ma commande . j'ai choisi le mode de livraison au point de dépôt le plus proche de chez moi à 2 , 99€:solderie alimentationlivré entre le sam .  04/05 et le sam .  11/052 km - rue de la glacerie 136 a - 5190 moustierdans le récapitulatif ,  au lieu du montant de 2 , 99€, il est écrit:""en cours de sélection""ensuite ,  ça reste bloqué comme ça indéfiniment . veuillez résoudre ce problème afin que je puisse payer mes produitsbien à vous , daniel k . ",26/04/2024,1,1,29/04/2024,"bonjour daniel k,je suis désolé si vous n'arrivez pas à valider votre commande 🙁je vous propose d'essayer avec un autre navigateur ou de vider votre cache. cela peut vous aider !mais si cela ne suffit pas, je vous encourage à contacter notre service clients pour qu'il puisse finaliser votre achat.voici les moyens de les joindre ⤵https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=comment%2520contacter%2520cdiscount%2520%3fà bientôt,damien","{'neg': 0.049, 'neu': 0.922, 'pos': 0.029, 'compound': -0.5514}"
jam jam,contact sav suite panne airpods .aucune réponse aucun remboursement depuis 3 mois a part leur message automatique de m . ...honte à vous je confirme que amazo  est bien plus reactif,26/04/2024,1,1,29/04/2024,"bonjour jam jam,je suis désolé si vous n'avez pas reçu de réponse de la part du sav. je vais vous envoyer une demande d'informations depuis ce site 😉 cela me permettra de transmettre votre message à notre service clients.à tout de suite,damien","{'neg': 0.145, 'neu': 0.748, 'pos': 0.107, 'compound': -0.3442}"
dechambre franck,"site facile à utiliser ,  bon cadeau toujours appréciable ,  plusieurs mode de livraison (top avec cdiscount à volonté), et surtout tarifs compétitifs",27/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.891}"
patrick poujade,tres bonne avec le services clients rien a dire a part qu il font bien leur travaille leur note et de 100% par contre j ai un souci avec une livraison,21/04/2024,5,1,23/04/2024,"bonjour patrick,merci d'avoir pris le temps de partager votre avis ! si vous avez une question ou un problème de livraison, n'hésitez pas à contacter le service clients justement. mes collègues sont là pour ça 😊vous pouvez les joindre dans votre espace client ➡️ https://clients.cdiscount.com/account/login.htmlà très bientôt j'espère,damien","{'neg': 0.054, 'neu': 0.761, 'pos': 0.186, 'compound': 0.6114}"
marie-christine nshouandele,servie rapide et efficace . je suis toujours satisfaite des commandes . ,27/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.6908}"
michel rico,"très satisfait de cdiscount ,  ou je suis client depuis 19 ans déjà et toujours content . ",26/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3367}"
élodie colomine,"encore une fois le service sav me propose un rdv pour un problème lave vaisselle encore sous garantie ,   pendant nos heures de travail ,   c'est inadmissible . ",25/04/2024,1,1,25/04/2024,"bonjour élodie,je suis désolé de voir que la situation n'est pas encore résolue 😞avez-vous rappelé mes collègues du service clients pour le leur signaler ?je suis sûr que la station technique fait au mieux pour vous apporter une solution au plus vite en fonction des disponibilités des professionnels.je vous envoie aussi une demande d'informations pour faire remonter votre message et voir comment nous pouvons vous aider.merci de votre retour,damien","{'neg': 0.179, 'neu': 0.737, 'pos': 0.084, 'compound': -0.5574}"
valentin,"de mieux en mieux .  je reçois des prélèvements pour des articles qui ont été remboursé .  (payé en plusieurs fois) franchement cdiscount ,  vous trouvez ça normal ?",27/04/2024,1,1,29/04/2024,"bonjour valentin,non, je ne trouve pas ça normal et c'est pour cette raison que je vais vous envoyer une demande d'informations. cela me permettra de transmettre votre message à notre service clients.à tout de suite,damien","{'neg': 0.056, 'neu': 0.815, 'pos': 0.129, 'compound': 0.3818}"
geneviève,"suite de mon avis du 11 avril 2024une suite lamentable de cdiscount et de son vendeur tiers . bonjourhier ,  le 25 avril ,  nous avons reçu un message nous confirmant qu'effectivement le colis serait récupéré le 26 avril 2024 ; nous n'avons pas bougé de notre domicile et personne ne s'est présenté !!!  ( je précise que nous avions demandé que le colis soit récupéré le 30 avril )décidément le service cdiscount aura été lamentable du début jusqu'à la fin , non seulement en proposant des articles de qualité très médiocres qui arrivent de plus  cassés et inutilisables mais en assurant un suivi déplorable du problème ,  en proposant d'abord une compensation plus que dérisoire 8€ , très légèrement augmentée dans un second temps (11€) et en refusant notre demande de remboursement finalement acceptée après plus de 15 jours d'échanges ....mais contre retour de l'objet inutilisable . je maintiens mes remarques auprès de trustpilot et auprès de paypal ; j'informe parallèlement la dgccrf de la non évolution de cette affaire .il est hors de question pour nous de perdre une journée de plus à attendre un hypothétique transporteur qui plus est injoignable ! !!!croyez bien que je regrette d'avoir traité avec vous et avec cdiscount dont la gestion s'est également révélée nulle . ....",26/04/2024,1,0,,,"{'neg': 0.09, 'neu': 0.857, 'pos': 0.054, 'compound': -0.9096}"
cabit,"achat d'une clé de licence d'un logiciel sur cdiscount .  j'ai reçu une version pirate ,  et impossible de contacter le sav pour me faire rembourser .  site à éviter . maj : le sav m'a contacté et m'a remboursé .  on est bien loin du service client d'autre site beaucoup plus qualitatif mais on s'en contente . ",26/04/2024,3,1,19/04/2024,"bonjour,je suis désolé de cette mauvaise impression qui ne reflète pas nos habitudes 😕le service clients est là pour vous aider ➡️ vous pouvez contacter mes collègues par téléphone ou dans votre espace client.dans le cas d'une commande marketplace, c'est le vendeur qui doit vous apporter une solution. vous pouvez aussi le joindre dans votre espace client.je vous envoie une demande d'informations pour m'assurer que votre dossier est bien pris en charge, ou remonter votre avis si nécessaire.merci de votre retour et à bientôt,damien","{'neg': 0.053, 'neu': 0.839, 'pos': 0.108, 'compound': 0.4767}"
patrice,"bonjour , attention ,  en achetant sur cdiscount ,  vous pouvez vous retrouver à acheter des produits issus du marché gris et en cas de souci vous n'aurez pas de garantie . réponse à votre réponse :ce qui me fait dire ça ,  c'est que le produit de la marque xiaomi refuse d'être pris en charge par xiaomi france car le numéro de série n'est pas sous leur garantie ! j'ai déjà contacté votre service client qui a visiblement fait le choix de ne pas me répondre ! ",23/04/2024,1,1,25/04/2024,"bonjour patrice,[mise à jour : après vérification et selon les retours du vendeur, la prise en charge du produit est refusée selon les conditions prévues par la garantie. mes collègues du service clients sont intervenus et ont bien vérifié que le vendeur vous apportait une réponse conforme.]--qu'est-ce qui vous fait dire ça ? 😕ce que vous décrivez ne fait pas partie de nos pratiques, alors n'hésitez pas à en dire plus ou à contacter notre service clients en cas de problème avec une commande.j'espère à bientôt,damien","{'neg': 0.107, 'neu': 0.839, 'pos': 0.054, 'compound': -0.5442}"
vanessa besson,"lamentable sav de cdiscount !!! j'ai acheté un téléphone ,  qui s'est avéré être défectueux .  cdiscount me demande de la renvoyer tout en souscrivant une assurance pour le renvoi ,  qui me serait remboursée ,  mais à ce jour ,  malgré 12 (!) appels au sav qui ,  à chaque fois ,  me dit que le problème va être résolu ,  toujours rien .  on me balade ,  on me demande de renvoyer des justificatifs (4 fois que je le envoie), on me dit ""réponse dans les 48h"", mais toujours rien !!!!! ils sont nullissimes ,  aréactifs et surtout particulièrement malhonnêtes !  un bon conseil ,  fuyez ! !!!!",23/04/2024,1,1,23/04/2024,"bonjour vanessa,je suis désolé de cette situation et il est bien normal que vous attendiez une solution.si le produit reçu présente un défaut, mes collègues du service clients pourront vous proposer un échange ou un remboursement une fois votre retour traité.je vous envoie une demande d'informations afin de vérifier ce qu'il se passe.merci de votre retour et à bientôt,damien","{'neg': 0.118, 'neu': 0.829, 'pos': 0.053, 'compound': -0.8703}"
adeline poiron,bonjour inadmissible la réponse que j'ai reçu suite à une livraison non reçue ! date butoir de livraison 12/04/2024 pas de nouvelles ! le n°de suivi fournit est erroné tous les 48h on m'annonce que le vendeur a 48h pour me répondre cela fait une semaine de passée et pas de réponse ce n'est pas normal et on m'annonce aujourd'hui que le vendeur a encore un délai de 7 jours pour me répondre ! selon la loi une fois la date de livraison prévue dépassée il y a risque de  paiement d'une amende ! je souhaiterais être remboursée dans les plus brefs délais ! pas normal d'attendre aussi longtemps !,22/04/2024,2,1,23/04/2024,"bonjour adeline,je comprends que vous soyez déçue et je suis désolé de cette mauvaise expérience.si le vendeur ne répond pas dans les délais, mes collègues du service clients peuvent prendre le relais à votre demande pour s'assurer qu'une solution conforme vous est bien apportée.➡️ https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=qui%2520contacter%2520si%2520je%2520ne%2520suis%2520pas%2520satisfait%28e%29%2520des%2520%25c3%25a9changes%2520avec%2520mon%2520vendeur%2520%3fje vous envoie aussi une demande d'informations pour me renseigner. j'espère que cela nous permettra de nous rattraper !à bientôt,damien","{'neg': 0.084, 'neu': 0.897, 'pos': 0.02, 'compound': -0.8024}"
francoise gardillon,"jamais déçu par mes commandes , de qualité",28/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.1326}"
osno fla,"suite à l’achat d'un téléphone ,  j'ai souscrit une assurance dite ""garantie casse"" à 34 . 90 € pour 2 ans . quelques temps après ,  l’écran du téléphone s'est fêlé en tombant d'une table lors de tri de documents ,  le téléphone est devenu inutilisable . j'ai donc fait recours à la garantie casse ,  et l'on m'a répondu que c'était une casse qui ne découlait pas d'un accident ,  mais qu'elle faisait suite à une maladresse de ma part et que par conséquent la garantie ne fonctionnait pas !ils m'ont informé que seules les casses ""accidentelles dues à un tiers"" étaient couvertes ! plus précisément les dommages matériels accidentels ou le vol avec agression ou effraction . personnellement dans mon entourage ,  je n'ai majoritairement connaissance que de cas de chute de téléphone lors de l'utilisation du téléphone par soi-même ,  et la plupart du temps de manière accidentelle ,  mais pas au sens de l'assureur (spb) de cdiscount !cette garantie est donc inutile dans 90% des cas à mon sens ,  de plus elle se limite à un seul sinistre durant sa durée de 1 ou 2 ans . le titre de la garantie étant attrayant mais trompeur ,  attention à bien lire les conditions qui ne sont pas directement affichées lors de la souscription ,  en cliquant sur le petit point d'interrogation de l'option ,  puis sur consulter les conditions ,  ce qui n'est pas instinctif lors de la souscription . la technique commerciale pour inciter à souscrire est par contre bien rodée !",26/04/2024,2,1,29/04/2024,"bonjour osno fla,je comprends votre déception mais les conditions des assurances pour les téléphones portables, sont assez similaires d'un assureur à l'autre 🙁 et en effet, je vous encourage à toujours lire les assurances pour choisir celle qui correspond le mieux à votre situation.à bientôt,damien","{'neg': 0.089, 'neu': 0.806, 'pos': 0.105, 'compound': -0.4777}"
bricout,"rien de plus simple que commander sur cdiscount ,  pour le paiement idem jamais de soucis la carte cdiscount réellement interessante",20/04/2024,5,0,,,"{'neg': 0.062, 'neu': 0.675, 'pos': 0.263, 'compound': 0.6534}"
marie el rahy,"si je pouvais mettre 0 étoile j'aurais due le mettre .  service client très mal .  j'ai fait une commande ,  elle était à retirer dans un point relais mondial relay .  je me suis présentée pour la récupérer mais elle n'était pas là bas .  je vérifie la commande sur mondial relay elle était indiquée livrée .  soit elle n'était jamais arrivée soit ils l'ont donné à quelqu'un d'autre puisque pas de pièce d'identité demandée dans ce relais .  j'ai contacté cdiscount et pour résoudre le problème ils m'ont demandé de signer une attestation avec un code pénal de 15000 euros et un an emprisonnement .  tout ça pour une commande de 20 euros .  et lorsque j'ai eu un conseiller au téléphone ,  elle m'a indiqué si je n'indique pas cette phrase ils ne peuvent pas procéder .  et lorsque je demande qu'est-ce qui me garantit que ce sont pas des arnaques elle a raccroché .  site à méfier",24/04/2024,1,1,25/04/2024,"bonjour marie,je suis désolé de cette mauvaise expérience 😞visiblement mes collègues du service clients vous ont demandé une attestation sur l'honneur. ne vous inquiétez pas, il s'agit de la procédure habituelle pour une contestation de livraison. sans ce document, il ne sera effectivement pas possible de traiter votre demande : je vous invite donc à transmettre les documents dans votre espace client.à bientôt j'espère,damien","{'neg': 0.034, 'neu': 0.932, 'pos': 0.034, 'compound': -0.3873}"
sciallis laura,"vous  avez commenté la publication de sandra prat : « le voilà mon commentaire sur cdiscount et ses prix ""formidables"", écoutez ça: j'ai commandé chez eux une cafetière piston ,  ok très bien .  prix 20 euros et quelques centimes .  le même article identique est vendu à 4 euros (quatre euros) chez ""babou"" à cusset ,  03300 ,  donc une différence de 15 euros est quasiment du vol .  donc ,  basta .  très déçue .  je mets ce petit mot sur fb pour avertir les autres clients potentiels .  »",20/04/2024,1,1,22/04/2024,"bonjour laura,je comprends votre remarque mais je peux vous assurer que nous sommes très vigilants sur les prix de nos produits. est-ce qu'il s'agit exactement de la même cafetière ? car le prix de 4 euros semble particulièrement bas ou il faisait l'objet  d'une promotion ? à bientôt,damien","{'neg': 0.04, 'neu': 0.814, 'pos': 0.146, 'compound': 0.9033}"
stevy f,"suite à un problème de garantie sur mon sèche linge ,  cddiscount a immédiatement réagit pour résoudre le problème et je les en remercie .  belle réactivité . ",26/04/2024,5,1,22/04/2024,"bonjour stevy,je comprends votre interrogation concernant la prise en compte de votre garantie. je vais vous envoyer un message depuis ce site pour récupérer votre numéro de commande. cela me permettra de transmettre vos coordonnées à mes collègues du service clients.😉à tout de suite,damien","{'neg': 0.1, 'neu': 0.641, 'pos': 0.259, 'compound': 0.5719}"
prestamere,"erreur du vendeur dans la description du produit (vendeur lanqi france), mais en conclusion ,  cdiscount m'a juste proposé de renvoyer le colis à mes frais . ",25/04/2024,1,1,25/04/2024,"bonjour,je suis désolé de cette déception 😕un remboursement des frais de retour est peut-être possible en cas d'erreur sur la fiche produit. n'hésitez pas à le demander au vendeur ou à mes collègues du service clients via votre espace client !je vous encourage en tout cas à renvoyer le produit s'il ne vous convient pas et si vous préférez un remboursement.à bientôt j'espère,damien","{'neg': 0.055, 'neu': 0.871, 'pos': 0.074, 'compound': 0.1531}"
davo,site intéressant autant par les offres très diversifiées que par les produits proposés . ,25/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
francoise dublineau,je n ai pas pu au moment du paiement bénéficier de ma cagnotte et elle expire bientôt,28/04/2024,2,1,29/04/2024,"bonjour françoise,c'est vrai que ce système de cagnotte est super pratique 😉si vous rencontrez des difficultés, je vous propose de contacter le service clients qui pourra vous aider !voici les moyens de les joindre : https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=comment%2520contacter%2520cdiscount%2520%3fbons achats !damien","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
jean luc chassang,"avis sur un produit cdiscount non publié à partir du moment où cet avis est négatif ! je réclame une notice d'utilisation d'un autoradio ,  on m'a envoyé 5 fois une notice d'installation mais je ne sais pas comment utiliser cet autoradio !",24/04/2024,1,1,24/04/2024,"bonjour jean-luc,je suis désolé si nous vous avons déçu et si vous ne parvenez pas à utiliser ce produit 😕je vous envoie une demande d'informations pour voir comment nous pouvons vous aider : notre service clients ne vous laissera pas sans solution !je vous invite aussi à consulter les conditions de publication des avis si votre message n'a pas été publié sur le site (vous avez dû les recevoir par mail) ➡️ https://www.cdiscount.com/avis-cgv.htmlmerci de votre retour et à bientôt,damien","{'neg': 0.11, 'neu': 0.863, 'pos': 0.027, 'compound': -0.4912}"
m. durnez luc,"prix abordable , livraison rapide ,  pour l'instant rien à redire ...",25/04/2024,5,1,26/04/2024,"bonjour luc,merci de votre confiance et merci pour votre achat !il n'y a plus qu'à attendre les beaux jours pour pouvoir en profiter ☀️à très bientôt sur le site,damien","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5439}"
jean claude vegnaduzzi,"grand choix de vins de qualité déjà achetés ,facilité de commande , prix compétitifs , livraison ultra rapide",25/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7096}"
julien deflandre,"j'ai renvoyé mon téléphone au vendeur pro fange pour problème de charge et depuis je n'arrive plus à échanger avec eux dans mes messages sur l'application c discount ,pour savoir si ils ont bien reçu mon colis et si le téléphone est réparable ? ils m'ont envoyé un numéro de téléphone qui est toujours sur répondeur et sur le site de c discount je n'arrive pas à laisser de message pour avoir des infos . ",24/04/2024,1,1,24/04/2024,"bonjour julien,mince alors 😕 je suis désolé de cette situation, d'autant que la messagerie de l'espace client est le bon endroit pour échanger des messages avec le vendeur (et aussi pour demander de l'aide au service clients).avez-vous essayé d'appeler mes collègues du service clients ou de leur envoyer un message sur les réseaux sociaux ? n'hésitez pas à le faire, ils pourront vous aider et envoyer un message au vendeur si nécessaire.vous nous tenez au courant ?j'espère à bientôt avec de meilleures nouvelles,damien","{'neg': 0.043, 'neu': 0.892, 'pos': 0.065, 'compound': -0.0516}"
elise marquis,pas de remboursement d'un téléphone qui n'a jamais fonctionné et qui a bien été reçu par leurs services .  j'ai appelé de nombreuses fois mais les conseillers ne comprennent pas ce que je leur dis . ..,24/04/2024,1,1,25/04/2024,"bonjour elise,[mise à jour : votre commande est bien remboursée, comme vous pourrez le voir dans votre espace client.]--c'est étonnant 🤔 surtout si le produit a bien été reçu. en tout cas, je suis désolé si la solution tarde à arriver.je vous envoie une demande d'informations pour vérifier le traitement de votre dossier. soyez sûre que nous ne vous laisserons pas sans réponse.merci de votre retour et à bientôt,damien","{'neg': 0.052, 'neu': 0.92, 'pos': 0.028, 'compound': -0.2523}"
the raven,"une honte ,  on demande une facture de 2015 ,  qui n'est plus accessible sur le site (chose qui n'est pas normal), et on répond depuis 15 jours ""oui ,  mais elle est archivée ,  on peut pas la trouver . ..vous aurez des nouvelles sous 48h"" chose qui n'est jamais le cas .  et quand vous demandez à parler à un responsable ,  on vous sort l'excuse de la réunion . ....",23/04/2024,1,1,24/04/2024,"bonjour the raven,je suis désolé de cette situation 😕les factures de vos anciennes commandes sont habituellement accessibles dans la rubrique ""mes commandes"" de votre espace client. vous pouvez aussi les demander aux vendeurs dans le cas des commandes marketplace.je vous envoie une demande d'informations pour transmettre votre avis à mes collègues du service clients et voir comment nous pouvons vous aider. nous ne vous laisserons pas sans solution.merci de votre retour et à bientôt,damien","{'neg': 0.073, 'neu': 0.874, 'pos': 0.053, 'compound': -0.5139}"
romain bitard,"ce sont des voleurs ,  ils ont un bug dans leur système proposant plusieurs fois des périodes d'essais puis vous facturent quand vous l'utilisez en se cachant derrière des conditions d'utilisation . j'appelle cela de la publicité mensongère et une arnaque",22/04/2024,1,1,23/04/2024,"bonjour romain,je suis désolé si nous vous avons déçu mais ces termes ne nous correspondent pas 😕de quelle période d'essai s'agissait-il ?si vous parlez de l'abonnement cdiscount à volonté, je vous invite à consulter cette page pour en savoir plus ➡️ https://www.cdiscount.com/cdavmes collègues du service clients sont aussi là pour vous renseigner si vous avez des questions : n'hésitez pas à les appeler !j'espère que nous aurons vite l'occasion de nous rattraper !à bientôt,damien","{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.8779}"
mido cougnot,"c'est toujours très facile de passer une commande sur cdiscount ,  la livraison est le plus souvent très rapide et le paiement aisé",19/04/2024,5,1,23/04/2024,"bonjour mido,merci de votre confiance et de votre fidélité ☀️comptez sur nous pour continuer à vous proposer des bonnes affaires toute l'année et plein d'autres avantages !à très vite,damien","{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.6997}"
aud,"toujours en attente d'un remboursement depuis le 6 mars ! malgré 4 demandes au service client ,  on me demande de patienter 48h maximum pour traiter ma demande qui reste toujours sans réponse . service client incompétent qui prend les clients pour des imbéciles . ",20/04/2024,1,1,22/04/2024,"bonjour aud,je comprends votre impatience et je vais vous envoyer une demande d'informations rapidement pour que l'on puisse vérifier l'état d'avancement de cette demande de remboursement.😉à tout de suite,damien","{'neg': 0.093, 'neu': 0.855, 'pos': 0.052, 'compound': -0.2714}"
axel,"avant toute chose : la quasi totalité des produits cdiscount sont conformes et les délais de livraison aussi . seulement ,  cdiscount est aussi la vitrine d'autres revendeurs et ceux-ci sont peu scrupuleux et ils ont bien raison puisque cdiscount n'en a rien à faire . historique de mes déboires :-casque audio dysfonctionnel - retour fait ,  jamais remboursé et la poste m'a même retourné le colis-guidon expédié le jour supposé d'arrivée .  16 jours plus tard toujours rien .  je pense sincèrement que je vais recevoir ce produit mais dans des délais typiques d'aliexpress ou tému .  et c'est bien normal puisque ça part de chine et que ces vendeurs ne sont rien d'autre que des drop shippeur .  sauf que vous payez un prix bien plus élevé que sur aliexpress ou tému . bref ,  site à éviter ,  risques d'arnaque et de problème de retour très élevés . ",22/04/2024,1,1,23/04/2024,"bonjour axel,je suis désolé de cette mauvaise impression, surtout si vous êtes satisfaits des produits habituellement 😞nous sommes très attentifs aux vendeurs de la marketplace et à la qualité des produits proposés.c'est au vendeur de vous apporter une solution en premier lieu en cas de problème mais mes collègues sont aussi là pour prendre le relais si nécessaire.n'hésitez pas à consulter nos faq pour en savoir plus sur la marche à suivre ➡️ https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=qui%2520contacter%2520si%2520je%2520ne%2520suis%2520pas%2520satisfait%28e%29%2520des%2520%25c3%25a9changes%2520avec%2520mon%2520vendeur%2520%3fde notre côté, soyez sûr que nous tiendrons compte de vos remarques pour nous améliorer.j'espère que cela nous vaudra quelques étoiles de plus la prochaine fois !à bientôt,damien","{'neg': 0.054, 'neu': 0.874, 'pos': 0.072, 'compound': 0.5417}"
thierry durand,certains article ne sont pas disponibles en points relais,26/04/2024,4,0,,,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.1779}"
vero mulard,"commande d un arbre à chat effectuée chez cdiscount . reçu rapidement dans les délais pas de soucis à ce niveau là . malheureusement des pièces essentielles  manquantes pour utiliser celui ci . j écris à cdiscount qui me dit que les pièces vont m être envoyées . mail le lendemain le fournisseur n a pas les pièces donc remboursement avec renvoi . je viens de voir que sur l étiquette de retour il y a écrit que c est à moi d avancer les frais et que de plus je serais rembourseée via bon d achat . ..c est tout simplement du vol .  renvoi à 22€ presqye le prix de l arbre à chat donc dépense au final si je renvoi presque 50 euros pour un minable arbre à chat . appel à cdiscount c est comme ça .  j ai mis un commentaire négatif que les futurs acheteurs le sachent ,  pareil commentaire rejeté . ..bref à fuir .  si tout va bien ok mais en cas de problème vous vous faites avoir . ..c est inadmissible de prendre les gens pour des pigeons comme ça . ",27/04/2024,1,0,,,"{'neg': 0.096, 'neu': 0.831, 'pos': 0.073, 'compound': -0.6623}"
client(e),client fidele de cdiscount pas de surprise et super suivi,28/04/2024,5,0,,,"{'neg': 0.122, 'neu': 0.71, 'pos': 0.169, 'compound': 0.1356}"
m. muscatelli flavien,"décidément cdiscount est en pleine décadence ,  commande effectué le 16/03/2024 (écran 32 incurvé 4k) payé et colis jamais reçu (6 semaines), nous sommes plusieurs acheteurs à être impactés par ce vendeur frauduleux .  bien sur cdiscount nous fait attendre depuis 10 jours et rien ,  pas de news .  lamentable !référence : 313553618 - 24031610016ojiq",18/04/2024,1,1,19/04/2024,"bonjour flavien,je suis désolé de cette mauvaise expérience et je comprends votre déception 😞si le vendeur ne répond pas ou s'il ne vous apporte pas de solution conforme, mes collègues du service clients prennent le relais et c'est visiblement ce qu'il s'est passé.le vendeur dispose d'un délai de 7 jours pour transmettre des informations de livraison valide. passé ce délai, c'est notre service clients qui vous apporte une solution (un remboursement par exemple).je vous invite dans tous les cas à rester connecté sur votre espace client pour être tenu informé.merci de votre patience et à bientôt j'espère,damien","{'neg': 0.094, 'neu': 0.845, 'pos': 0.061, 'compound': -0.7616}"
na,bonne entreprisetoujours à l'écoutelivraison à la bonne datetrès réactive,25/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.7717}"
picard,bonjour . tres exellent site . tres satisfait . merci . rené . ,28/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.5106}"
mertz,"expérience désastreuse ,  aucune gestion objective des litiges avec les vendeurs .  je souhaite retourner un produit qui ne convient pas à mon matériel ,  le vendeur me propose ,  en trés grand professionnel . ... de changer de matériel !!!!les échanges durent depuis 1 mois ,  cdiscount ne fait strictement rien ,  malgré un litige déclaré 1 mois auparavant . ..le tout pour . ..7 € !!!!!",19/04/2024,1,1,23/04/2024,"bonjour mertz,[mise à jour : visiblement, le logiciel commandé n'était pas compatible avec votre système d'exploitation. le vendeur vous a bien répondu mais mes collègues du service clients continuent à suivre vos échanges pour s'assurer que tout est conforme. merci de votre patience.]--je comprends votre déception mais sachez que nous n'intervenons que lorsque le dialogue est rompu avec le vendeur. apparemment, ce n'est pas votre cas, mais pour ne pas vous laisser sur cette mauvaise impression, je vais vous envoyer une demande d'informations depuis ce site. cela me permettra de transmettre votre message à mes collègues du service clients.à tout de suite,damien","{'neg': 0.057, 'neu': 0.923, 'pos': 0.021, 'compound': -0.587}"
peggy,"attention 😡😡😡ils vous souscrivent une reconduction automatique « cdiscount à volonté » sans que vous ne le souhaitez ou que vous soyez prévenu !!je ne savais même pas que m’était souscrit un « abonnement » lors de mon dernier achat y’a 1 an de ça !! qui à servi à quoi d’ailleurs ???!!! j’en ai jamais vu la couleur bizarre tiens !vous voyez apparaître du coups 1 an après un prélèvement de 29 € sur votre compte en banque sans aucune notification !!service client qui ne sert à rien ils ne veulent rien entendre ! « mme vous avez reçu un message dans votre espace client pour vous prévenir de la reconduction automatique » grosse blague 😂 ! c’est ça votre couverture pour vous déculpabiliser de votre vol ?qui est sur son espace client cdiscount tous les jours et consulte ses messages sur votre application ? 😂plus jamais je n’achèterai quoi que ce soit ici … les tours de passe-passe pour voler les gens c’est à vomir . et combien comme moi on dû se faire voler ??!!! bien joué cdiscount vous ne m’y reprendrai pas 2 fois ,  j’irai faire mes achats désormais à des professionnels honnêtes que vous n’êtes pas ,  profitez bien de mes 29€ vous en perdrez tellement plus sur la durée !",25/04/2024,1,1,25/04/2024,"bonjour peggy,nous vous avons visiblement déçue et j'en suis désolé mais les termes que vous utilisez ne nous correspondent pas 😕le renouvellement de l'abonnement fait nécessairement suite à une souscription de votre part, lors d'une précédente commande avec la livraison gratuite par exemple.dans ce cas, l'abonnement est noté dans le récapitulatif de commande et dans votre espace client.lors du renouvellement, nous ne vous prévenons pas que dans votre espace client. vous recevez aussi un mail à l'adresse renseignée sur votre compte client.j'espère donc que nous aurons vite l'occasion de nous rattraper.à bientôt,damien","{'neg': 0.08, 'neu': 0.812, 'pos': 0.108, 'compound': 0.6681}"
